candidate,candidate_type,imputation,model,training_mode,alpha,NDCG_at_K,Precision_at_K,Recall_at_K,AveragePrecision,TopWeightedRMSE,RMSE,MAE,R2,K,DiversePrecision_at_K,DiverseRecall_at_K,TolerantPrecision_at_K,TolerantRecall_at_K,TolerantDiversePrecision_at_K,TolerantDiverseRecall_at_K,ToleranceSec,MinGapSec
hybrid__alpha_0.3__regression__missing_rows_interpolate__extra_trees__standard__PLUS__classifier__missing_rows_interpolate__random_forest_clf__highlight_weighted,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.3,0.9293732290403481,0.7142857142857143,0.7142857142857143,0.7848185710889573,0.1644330077073741,0.15820799897337426,0.1167949995190762,0.34695250569658576,28,0.5,0.5,0.9642857142857143,0.75,0.7142857142857143,0.6785714285714286,10,10
hybrid__alpha_0.7__regression__missing_rows_interpolate__xgboost_gpu__highlight_weighted__PLUS__classifier__all_zeros_mean__gradient_boosting_clf__standard,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.7,0.9289159170461146,0.7142857142857143,0.7142857142857143,0.8272093392056998,0.1548168387427001,0.16284691543549212,0.1280009169474589,0.3080942084455256,28,0.4642857142857143,0.4642857142857143,0.9642857142857143,0.8571428571428571,0.75,0.7142857142857143,10,10
hybrid__alpha_0.7__regression__missing_rows_interpolate__random_forest__standard__PLUS__classifier__missing_rows_interpolate__gradient_boosting_clf__highlight_weighted,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.7,0.9287675596723582,0.6785714285714286,0.6785714285714286,0.8142115946552271,0.16724073620283944,0.169996261365086,0.13197229901384086,0.24600818248498058,28,0.39285714285714285,0.39285714285714285,0.9642857142857143,0.7857142857142857,0.6785714285714286,0.6785714285714286,10,10
hybrid__alpha_0.3__regression__missing_rows_interpolate__extra_trees__standard__PLUS__classifier__missing_rows_interpolate__gradient_boosting_clf__standard,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.3,0.9285651430739896,0.75,0.75,0.7925842933582548,0.1685092009511424,0.13156953966042081,0.09571792803448466,0.5483535482928874,28,0.39285714285714285,0.39285714285714285,0.9285714285714286,0.8571428571428571,0.6428571428571429,0.6428571428571429,10,10
hybrid__alpha_0.3__regression__missing_rows_interpolate__extra_trees__highlight_weighted__PLUS__classifier__missing_rows_interpolate__gradient_boosting_clf__standard,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.3,0.9284836587441666,0.75,0.75,0.7988436458475299,0.16206307776296094,0.1286577973005044,0.09410484070491719,0.5681229603814762,28,0.42857142857142855,0.42857142857142855,0.9285714285714286,0.8571428571428571,0.6785714285714286,0.6785714285714286,10,10
regression__missing_rows_interpolate__extra_trees__highlight_weighted,regression,missing_rows_interpolate,extra_trees,highlight_weighted,,0.9281351627978653,0.7142857142857143,0.7142857142857143,0.7797513976754746,0.2631269958327,0.28945236560350646,0.25113501241721553,-1.1859594367943451,28,0.42857142857142855,0.42857142857142855,0.9285714285714286,0.7142857142857143,0.75,0.6785714285714286,10,10
hybrid__alpha_0.5__regression__missing_rows_interpolate__xgboost_gpu__highlight_weighted__PLUS__classifier__all_zeros_mean__gradient_boosting_clf__standard,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.5,0.9279563874224711,0.7142857142857143,0.7142857142857143,0.7923492124650592,0.12971468326928492,0.11399402573001591,0.08501877122952319,0.6609591137690671,28,0.4642857142857143,0.4642857142857143,0.9642857142857143,0.8571428571428571,0.75,0.7142857142857143,10,10
hybrid__alpha_0.3__regression__missing_rows_interpolate__extra_trees__highlight_weighted__PLUS__classifier__missing_rows_interpolate__random_forest_clf__highlight_weighted,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.3,0.9279388888050757,0.7142857142857143,0.7142857142857143,0.7869532312626816,0.1659527557164135,0.16019893493429238,0.11726596659409076,0.3304128029517769,28,0.4642857142857143,0.4642857142857143,0.9642857142857143,0.75,0.7142857142857143,0.6785714285714286,10,10
hybrid__alpha_0.7__regression__missing_rows_interpolate__extra_trees__standard__PLUS__classifier__missing_rows_interpolate__random_forest_clf__highlight_weighted,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.7,0.927017919471928,0.7142857142857143,0.7142857142857143,0.7821604408662448,0.1732914124487634,0.1785852419432794,0.13519752757231882,0.16789328781563395,28,0.42857142857142855,0.42857142857142855,0.9642857142857143,0.7142857142857143,0.6785714285714286,0.6428571428571429,10,10
hybrid__alpha_0.3__regression__missing_rows_interpolate__xgboost_gpu__highlight_weighted__PLUS__classifier__all_zeros_mean__gradient_boosting_clf__standard,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.3,0.9269387102415488,0.7142857142857143,0.7142857142857143,0.7579612689650161,0.16111472154025724,0.1294527927789971,0.09639416403477237,0.5627692068413217,28,0.42857142857142855,0.42857142857142855,1.0,0.8571428571428571,0.7142857142857143,0.7142857142857143,10,10
