start_sec,end_sec,start_time,end_time,num_detections,character_count,emotion_count,avg_mismatch,emotion_entropy,transition_score,avg_emotion_confidence,highlight_score
265,270,04:25,04:30,2,2,2,0.35,0.3562071860802255,0.0,0.4668644219636917,0.28655179652005636
730,735,12:10,12:15,3,3,3,0.16666666666666666,0.5645750325118847,0.0,0.3178422749042511,0.27614375812797115
1730,1735,28:50,28:55,3,2,2,0.3333333333333333,0.3271035749537682,0.0,0.4793573319911957,0.271775893738442
555,560,09:15,09:20,2,2,2,0.3,0.3562071860802255,0.0,0.36976079642772675,0.2640517965200564
990,995,16:30,16:35,2,1,2,0.25,0.3562071860802255,0.2,0.3475882261991501,0.2615517965200564
670,675,11:10,11:15,2,1,2,0.25,0.3562071860802255,0.2,0.40070641040802,0.2615517965200564
465,470,07:45,07:50,2,1,2,0.25,0.3562071860802255,0.2,0.3289324790239334,0.2615517965200564
1330,1335,22:10,22:15,2,1,2,0.25,0.3562071860802255,0.2,0.4823649674654007,0.2615517965200564
135,140,02:15,02:20,2,1,2,0.25,0.3562071860802255,0.2,0.5937410593032837,0.2615517965200564
305,310,05:05,05:10,2,1,2,0.25,0.3562071860802255,0.2,0.2997805178165436,0.2615517965200564
600,605,10:00,10:05,2,1,2,0.25,0.3562071860802255,0.2,0.4939129203557968,0.2615517965200564
645,650,10:45,10:50,3,2,2,0.3,0.3271035749537682,0.0,0.3979441324869792,0.25677589373844206
420,425,07:00,07:05,3,1,2,0.16666666666666666,0.3271035749537682,0.4,0.5142147640387217,0.25677589373844206
655,660,10:55,11:00,4,2,2,0.225,0.28898309764806296,0.2,0.3664480000734329,0.25349577441201576
475,480,07:55,08:00,1,1,1,0.5,-5.13898384632941e-10,0.0,0.3815643787384033,0.24499999987152543
945,950,15:45,15:50,1,1,1,0.5,-5.13898384632941e-10,0.0,0.6611393094062805,0.24499999987152543
115,120,01:55,02:00,1,1,1,0.5,-5.13898384632941e-10,0.0,0.3282949924468994,0.24499999987152543
40,45,00:40,00:45,1,1,1,0.5,-5.13898384632941e-10,0.0,0.48475906252861023,0.24499999987152543
500,505,08:20,08:25,1,1,1,0.5,-5.13898384632941e-10,0.0,0.3510873019695282,0.24499999987152543
690,695,11:30,11:35,1,1,1,0.5,-5.13898384632941e-10,0.0,0.47750362753868103,0.24499999987152543
295,300,04:55,05:00,1,1,1,0.5,-5.13898384632941e-10,0.0,0.5410051345825195,0.24499999987152543
355,360,05:55,06:00,1,1,1,0.5,-5.13898384632941e-10,0.0,0.21921423077583313,0.24499999987152543
